0.00,333.50,0.10,0.00,-0.018
0.007,511.40,0.30,0.00,-0.014
0.049,768.00,0.50,0.00,0.023
0.09,850.10,0.70,0.00,0.062
0.109,850.90,0.80,0.00,0.083
0.149,838.30,1.00,0.00,0.127
0.19,984.50,1.20,0.00,0.164
0.23,1159.90,1.40,0.00,0.201
0.27,1199.90,1.60,0.00,0.239
0.31,1301.80,1.80,0.00,0.276
0.35,1466.80,2.00,0.00,0.311
0.389,1686.30,2.20,0.00,0.346
0.431,2027.00,2.40,0.00,0.372
0.47,2394.60,2.60,0.00,0.399
0.51,2811.70,2.80,0.00,0.422
0.55,3261.60,3.00,0.00,0.441
0.588,3743.00,3.20,1.00,0.46
0.589,3642.80,3.40,1.00,0.46
0.562,2833.90,3.60,1.00,0.449
0.518,1865.30,3.80,1.00,0.431
0.479,1170.10,4.00,1.00,0.41
0.439,643.40,4.20,1.00,0.392
0.40,219.60,4.40,1.00,0.369
0.36,-125.30,4.60,1.00,0.338
0.34,-259.00,4.70,1.00,0.323
0.30,-375.50,4.90,1.00,0.285
0.259,-374.80,5.10,1.00,0.242
0.239,-374.10,5.20,1.00,0.221
0.199,-360.20,5.40,1.00,0.18
0.159,-372.30,5.60,1.00,0.139
0.139,-369.80,5.70,1.00,0.117
0.099,-374.70,5.90,1.00,0.075
0.06,-521.90,6.10,1.00,0.04
0.04,-576.70,6.20,1.00,0.021
-0.001,-677.20,6.40,1.00,-0.015
-0.041,-765.10,6.60,1.00,-0.055
-0.061,-812.30,6.70,1.00,-0.072
-0.10,-964.50,6.90,1.00,-0.107
-0.14,-1162.40,7.10,1.00,-0.141
-0.161,-1274.80,7.20,1.00,-0.158
-0.201,-1532.00,7.40,1.00,-0.191
-0.243,-1824.40,7.60,1.00,-0.221
-0.261,-1988.60,7.70,1.00,-0.235
-0.303,-2339.90,7.90,1.00,-0.263
-0.34,-2735.50,8.10,1.00,-0.288
-0.381,-3166.10,8.30,1.00,-0.311
-0.421,-3613.60,8.50,1.00,-0.332
